Treatment,COPY_MUT_PROB,COPY_INS_PROB,COPY_DEL_PROB,DIVIDE_INS_PROB,DIVIDE_DEL_PROB,DIVIDE_SLIP_PROB,SLIP_FILL_MODE,Replicate #,Length,Task Coding Sites Average,Task Coding Sites Standard Deviation,Information Type,Information,Information Concentration
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2098,100,1.9076592016490552e+25,0.0,merit,61.0,0.60999999999999999
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2098,100,1.9076592016490552e+25,0.0,fitness,73.0,0.72999999999999998
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2098,100,1.9076592016490552e+25,0.0,efficiency,50.0,0.5
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2098,100,1.9076592016490552e+25,0.0,viable,12.0,0.12
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2092,100,2.1123743089640005e+25,0.0,Task Count,63.0,0.63
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2092,100,2.1123743089640005e+25,0.0,gest_time,80.0,0.80000000000000004
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2092,100,2.1123743089640005e+25,0.0,comp_merit,63.0,0.63
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2092,100,2.1123743089640005e+25,0.0,merit,66.0,0.66000000000000003
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2092,100,2.1123743089640005e+25,0.0,fitness,90.0,0.90000000000000002
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2092,100,2.1123743089640005e+25,0.0,efficiency,80.0,0.80000000000000004
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2092,100,2.1123743089640005e+25,0.0,viable,18.0,0.17999999999999999
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2071,100,1.2828079182836241e+25,0.0,Task Count,49.0,0.48999999999999999
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2071,100,1.2828079182836241e+25,0.0,gest_time,73.0,0.72999999999999998
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2071,100,1.2828079182836241e+25,0.0,comp_merit,49.0,0.48999999999999999
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2071,100,1.2828079182836241e+25,0.0,merit,51.0,0.51000000000000001
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2071,100,1.2828079182836241e+25,0.0,fitness,75.0,0.75
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2071,100,1.2828079182836241e+25,0.0,efficiency,73.0,0.72999999999999998
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2071,100,1.2828079182836241e+25,0.0,viable,13.0,0.13
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2083,100,1.1864568448483321e+25,0.0,Task Count,71.0,0.70999999999999996
