Treatment,COPY_MUT_PROB,COPY_INS_PROB,COPY_DEL_PROB,DIVIDE_INS_PROB,DIVIDE_DEL_PROB,DIVIDE_SLIP_PROB,SLIP_FILL_MODE,Replicate #,Organism ID,Update Born,Task Count
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2097,9140750,198668,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2076,7554176,199406,126
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2070,11042547,199112,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2082,20793751,199436,100
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1985,7064614,198643,101
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,2001,5243336,198872,688
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1991,3376847,199481,949
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1989,5173360,199698,895
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,2005,3685276,198813,878
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1995,6723020,198928,484
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1980,3905244,198020,915
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,2002,4552103,199776,657
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1992,7703934,199803,533
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,2006,6449825,199617,653
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1996,3632181,198903,961
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1981,4106254,198226,615
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,2007,3423066,198777,939
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1997,4028936,199803,941
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1982,4639730,198780,513
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1986,4275348,199511,788
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,2008,3632864,199772,967
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1998,4310431,199498,874
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1983,3273737,199426,947
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1987,4698746,199014,499
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,2009,3618200,199265,782
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1999,5254106,199813,675
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,2003,3450028,199479,804
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1993,7490325,199799,472
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1984,3366940,199321,753
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,2000,3538798,198990,910
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1990,11970551,199654,274
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1988,2289927,199654,901
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,2004,4548295,199542,774
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1994,3454304,199643,711
