Treatment,Parameters,Replicate #,Organism ID,Update Born,Task Count
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,322539,77536,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,324400,78029,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,327107,78744,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,373128,91572,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,376346,92524,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,376988,92715,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,390356,96877,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,391070,97097,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,412801,103678,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,417167,104936,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,427571,107968,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,432953,109570,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,465619,120606,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,469010,121892,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,472366,123143,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,480804,126214,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,484924,127733,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,489034,129259,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,489640,129479,0
